SYD,3,2.01,3.01,990.34,93,SNOW
MEL,4,-2.5,3.1,691.4,89,SNOW
PER,3,12,15.4,800.1,91,RAIN
BER,2,25.1,27.2,845.23,94,SUNNY
ADL,6,13.01,14.67,800.01,93,RAIN
PER,1,23.01,26.23,900.23,88,SUNNY
MEL,4,12.01,13.01,991.34,93,RAIN
SYD,2,-2.3,1.3,701,91,SNOW
PER,1,22,24.5,800.1,91,SUNNY
MEL,2,25.1,27.2,845.23,94,SUNNY
ADL,10,-3.01,-2.01,800.01,93,SNOW
PER,12,5.6,8.5,900.23,91,SUNNY
ADL,12,12.23,13.01,990.34,90,RAIN
PER,6,-2.5,3.1,691.4,89,SNOW
PER,3,-0.2,5.1,834.12,93,RAIN
MEL,1,-4.5,0.23,845.23,94,SNOW
ADL,9,23.01,24.12,800.01,93,SUNNY
PER,2,21.01,22.14,990.12,89,SUNNY
MEL,4,32.01,35.3,991.34,93,RAIN
SYD,6,-1.5,2.4,701,91,SNOW
PER,8,23.45,24.5,800.1,91,SUNNY
BER,10,20.56,26.01,841,92,SUNNY
ADL,7,-2.45,-0.34,700.23,91,SNOW
PER,11,15.4,20.12,903.2,90,SUNNY
PER,3,2.02,3.02,990.34,93,SNOW
ADL,4,-2.5,3.2,692.4,89,SNOW
PER,3,22,25.4,800.2,92,RAIN
ADL,2,25.2,27.2,845.23,94,SUNNY
BER,6,23.02,24.67,800.02,93,RAIN
PER,2,23.02,26.23,900.23,88,SUNNY
ADL,4,22.02,23.02,992.34,93,RAIN
PER,2,-2.3,2.3,702,92,SNOW
BER,2,22,24.5,800.2,92,SUNNY
BER,2,25.2,27.2,845.23,94,SUNNY
ADL,9,-3.02,-2.02,800.02,93,SNOW
PER,8,5.6,8.5,900.23,92,SUNNY
ADL,7,22.23,23.02,990.34,90,RAIN
PER,6,-2.5,3.2,692.4,89,SNOW
PER,3,-0.2,5.2,834.22,93,RAIN
ADL,2,-4.5,0.23,845.23,94,SNOW
ADL,9,23.02,24.22,800.02,93,SUNNY
PER,2,22.02,22.24,990.22,89,SUNNY
ADL,4,32.02,35.3,992.34,93,RAIN
PER,6,-2.5,2.4,702,92,SNOW
PER,8,23.45,24.5,800.2,92,SUNNY
ADL,3,20.56,26.02,842,92,SUNNY
ADL,7,-2.45,-0.34,700.23,92,SNOW
PER,12,25.4,26.22,903.2,90,SUNNY
